Item,Model,Link
Photodiode,BPW34,http://digikey.com/en/products/detail/ams-osram-usa-inc/BPW34/607274
Transimpedance Amplifier,OPA344PA,https://www.digikey.com/en/products/detail/texas-instruments/OPA344PA/362265
UV Sensor,Digikey - 1918,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1918/5761250
Analog-to-Digital Signal converters,DigiKey - 1085,"https://www.digikey.com/en/products/detail/adafruit-industries-llc/1085/5761229"
Raspberry Pi Pico,SC1632,https://www.digikey.com/en/products/detail/raspberry-pi/SC1632/26241102
Breadboard ,ELEGOO 3PCS 400 tie Points breadboard,https://www.amazon.com/gp/product/B01EV640I6/ref=ewc_pr_img_4?smid=A2WWHQ25ENKVJ1&psc=1
Resistor Assortment,50 Values 1/4W 0 Ohm-10M Ohm ±1% Tolerance Metal Film Resistor,https://www.amazon.com/ALLECIN-Metal-Film-Resistor-Kit/dp/B0CDWVLTM1/ref=sr_1_2?crid=1E6QV6HD9ZYWV&dib=eyJ2IjoiMSJ9.qMnH4L3l3Iv9GNEQbWn1mpIyLiAJwLszZgj-hvHVvUCk_bbffMmud5ZJmDfQq6nPZ9W96aG9BaswKaFvmMJgZMPQQvNd_39ZXP1htrFsWLF8PbDaPJdz56oYZB0OEaudufUC2zxekLQPUX0FwK_YGbsWQhtnqT82Nl6jVrSDO2wgOBs8v0lByxKhJYMhJEYmmkOAJvnQE8XBPQv-0sj4hN3ah0jXXaZ9nJ_ZKCEJGv4.LNshx6e4C2RLbn1uPhQBa-cm8FuLvt-0rtldV5GZqss&dib_tag=se&keywords=Resistor+assortment%2C+1+M%CE%A9%E2%80%9310+M%CE%A9&qid=1784057568&sprefix=resistor+assortment%2C+1+m%CF%89+10+m%CF%89%2Caps%2C155&sr=8-2
Ceramic Capacitators,BOJACK 15 Values 300 Pcs Ceramic Capacitor,https://www.amazon.com/dp/B085RLXXBK?lv=shuf&crid=1MNG15K95N52M&keywords=Small%2Bceramic%2Bcapacitors&sprefix=small%2Bceramic%2Bcapacitors%2Caps%2C137&th=1&dib_tag=se&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&dib=eyJ2IjoiMSJ9.aq8BuIR4e6c8RMNtgcRoJRhtDsov1tXy3PMi99Vj5UZxO47SOJPD9NzQ6H2IgEDoQcP5fFAK01JmIUxfW6_BsWVV4UvLongdL_K71njf5Q9okHNy_HsolO0x5VaB18fCymfRdQBbRs1VZUICxPUKDU0pr7wTR2q8dwT68ADfXZ5AgYFXQI_l8Jp2rgxssgYUd_qaWwb_sMoJQiq7bTg-iGTJmbKy_8ym7f9h5VjCk24.vIR0jLfgXkdtKejwrN4y9_p1tNTGpImcv9ejQuyTVMU&qid=1784056341&sr=8-1-spons&channelId=500&ref_=sr_1_1_sspa&plpRedirect=mhFallback
Jumper Wires M-M,ZW-MM-10,https://www.digikey.com/en/products/detail/busboard-prototype-systems/ZW-MM-10/19200382
Jumper Wires M-F,ZW-MF-10,https://www.digikey.com/en/products/detail/busboard-prototype-systems/ZW-MF-10/19200374
Hook Up Wire (22 AWG),DigiKey - 1311,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1311/6198255